id	text
380131	A great mixture of sweet and sour.  These are not sour-balls, but rather a lemon-flavored hard candy that starts out sweet, and finishes slightly sour with a continuing hint of sweet.  I love the way the taste changes a bit from beginning to end, leaving you ready to try another!
135382	This coffee looks great and this coffee sounds great, but it does not taste great!  It had several  off notes to it.  It was weak and bland.  Was it roasted properly?  Bleh, skip this one.
389656	I really like the Probars, except the calorie count was too high.  The Halo bars have few calories and I like the flavors.
548281	I really did not like this tea. i general love chamomile tea and drink a lot of different brands  but this one has a strong honey flavor that totally overpowers chamomile.
455073	"1.  Didn't taste how I expected it to.<br />2.  Didn't taste that good to me.<br />3.  Had an aftertaste that I didn't care for.<br />4.  Not horrible god awful, eeew I have to go throw-up bad, but certainly not delightful or enjoyable in a way that I'd go out of my way to ever have it again....<br /><br /><a href=""""http://www.amazon.com/gp/product/B0064HK454"""">Trader Joe's Organic Ginger Pear White Tea 20 Tea Bags Delicious</a><br /><a href=""""http://www.amazon.com/gp/product/B007HE7UDM"""">Trader Joe's Organic Ginger Pear White Tea 20ct.</a><br /><a href=""""http://www.amazon.com/gp/product/B007SS3X5G"""">Organic Ginger Pear White Tea</a>"
410171	Unlike one of the previous reviewers, this is one of my cat's absolute favorite variety. He usually will just lick the can clean while my other cat eats the food, but this is one he truly enjoys eating.
40105	bought it because my constipation is getting seriously, my friends recommended me of this. and it really works!!!<br />it is amazing :) now i cant life without it!!
68591	One of a few items in this world that I simply can't live without.  Four cups of Morning Thunder gets me going for the rest of the day.  I've convinced quite a few jaded coffee drinkers to switch over, and every time the feedback has been nothing but positive.  I swear, if Celestial Seasonings ever discontinued Morning Thunder, I would probably be forced to take hostages.
147722	"I BOUGHT THIS COFFEE DUE TO THE RAVE REVIEWS, BASED ON """"EXTRA BOLD"""" CRITERIA. SINCE I HAVE BEEN VERY SATISFIED WITH ALL MY OTHER TIMOTHY BRAND COFFEES, I WILL ASSUME THIS WAS A VERY BAD BATCH. VERY BITTER WITH A STRONG BURNT AFTER TASTE. THREW AWAY BOTH BOXES, AFTER TRYING SEVERAL OUT OF EACH BOX. WILL NOT BUY THIS ONE AGAIN BUT WILL CONTINUE BUYING OTHER TIMOTHY WORLD COFFEES."
103200	I love this sugar-free product I have purchased 12 bottles for my morning coffee.  I have also purchased 6 bottles of not sugar-free and gave them as gifts.  I originaly purchased this at a warehouse store but they no longer carried this produce and found it on Amazon.  Yeah!
419948	This product gives your cats the variety that they crave and need all in one case.  It beats ordering several cases and having to open each one up seperately.  The cats absolutely love this catfood and it's healthy for them as my cats are very healthy and have been eating these for a long time.
163833	When we couldn't find these in our local grocery store anymore, we were very glad to find them available through Amazon. these are light and delicious and a true treat!
498872	The Arizona Vanilla Company sent me very rapidly the finest Tahitian Vanilla beans along with very useful general information concerning Vanilla. As soon as I run out of Vanilla beans I will order from Arizona Vanilla Compay again.
506605	Pancakes tasted good but I just couldn't get mine to rise nicely following recipe exactly and modifying some.  So far the best pancake mix I've bought has been Uncle Buck's from the Bass Pros store.
493269	Of all the K-Cup flavors that are out there, and there are many very good ones, this is one of my least favorites, and I have tried almost all of them.  Not much flavor to this one, even if you add various types of creamers.  Of course, it is all a matter of taste, but this one doesn't taste all that good.  It is not bad - it is just kind of there - like a generic coffee.  Try something else instead.
376037	"i am waiting for marmalade to discover what this contraption is..........  she scratches the sofa right next to it despite my """"showing """" her how to use it!!!  and she just eats the catnip!!!  patience???"
55553	"These look like Cheerios, but taste like they are lightly covered in molasses and honey, with a little sprinkling of tiny oat and peanut slivers--sweet, but not sugary and are not too sweet.  They are corn O's, crunchy and delicious and taste great right out of the box as a snack, or with milk.  They leave a nice taste residue in the milk too, in case you like to drink the milk after you eat the cereal out of it.  My taste buds tell me this cereal ROCKS! and will be a HIT!<br /><br />Ingredients listed, in order on the box:  yellow corn meal, sugar, corn bran, peanuts, honey, molasses, salt, whole oat flour, caramel color, baking soda, etc.<br /><br />For 3/4 cup serving of cereal only: 100 calories, 1g fat, 0mg cholesterol, 125mg sodium, 25mg potassium, 2% protein, total carbs 23g (which include10g sugar/2g dietary fiber/11 other carbs).<br /><br />Vitamin/mineral content at 10% each: Vitamins A, C, D, Zinc.<br />At 25% each: Iron, Thiamin, Riboflavin, Niacin, B6, B12, Folic Acid.<br /><br />For those with allergies:<br />""""CONTAINS PEANUT AND WHEAT INGREDIENTS, CORN USED IN THIS PRODUCT CONTAINS TRACES OF SOYBEANS, MAY CONTAIN TREE NUTS.""""<br /><br />But, if all you want to know about is the taste, then yes, it is DELICIOUS!!!"
